web-scraper-order,web-scraper-start-url,Competition_selector,Competition_selector-href,Fixtures_selector,Fixtures_selector-href,Match_data
"1554129250-410","https://www.world.rugby/sevens-series/standings/mens?series=22","Singapore","https://www.world.rugby/sevens-series/stage/1691/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1691/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2016-17 - Singapore, </span><span>Pool B, </span><span>Match 4</span></div><div class=""match""> <div class=""tLogo RSA""></div>   <div class=""teamName left"">South Africa 7s</div><div class=""teamNameAbr left"">RSA</div><div class=""result left"">   52 - 0 </div><div class=""teamName left"">Japan 7s</div><div class=""teamNameAbr left"">JPN</div><div class=""tLogo second JPN""></div></div><div class=""info info--venue"">National Stadium, Singapore</div><div class=""matchBtns""> </div>"
"1554129194-325","https://www.world.rugby/sevens-series/standings/mens?series=23","Sydney","https://www.world.rugby/sevens-series/stage/1788/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1788/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2018 - Sydney, </span><span>Pool C, </span><span>Match 9</span></div><div class=""match""> <div class=""tLogo ENG""></div>   <div class=""teamName left"">England 7s</div><div class=""teamNameAbr left"">ENG</div><div class=""result left"">   35 - 5 </div><div class=""teamName left"">Papua New Guinea 7s</div><div class=""teamNameAbr left"">PNG</div><div class=""tLogo second PNG""></div></div><div class=""info info--venue"">Allianz Stadium, Sydney</div><div class=""matchBtns""> </div>"
"1554129337-528","https://www.world.rugby/sevens-series/standings/mens?series=21","Dubai","https://www.world.rugby/sevens-series/stage/1629/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1629/fixtures","<div class=""info""><span>2015/16 HSBC World Rugby Women's Sevens Series - Dubai, </span><span>Plate Final, </span><span>Match 32</span></div><div class=""match""> <div class=""tLogo CAN""></div>   <div class=""teamName left"">Canada 7s</div><div class=""teamNameAbr left"">CAN</div><div class=""result left"">   19 - 24 </div><div class=""teamName left"">New Zealand 7s</div><div class=""teamNameAbr left"">NZL</div><div class=""tLogo second NZL""></div></div><div class=""info info--venue"">The Sevens, Dubai</div><div class=""matchBtns""> </div>"
"1554129520-563","https://www.world.rugby/sevens-series/standings/mens?series=17","Guangzhou","https://www.world.rugby/sevens-series/stage/1528/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1528/fixtures","<div class=""info""><span>2013/14 IRB Women's Sevens World Series - Guangzhou, </span><span>3rd Place Play-Off, </span><span>Match 33</span></div><div class=""match""> <div class=""tLogo FIJ""></div>   <div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""result left"">   5 - 26 </div><div class=""teamName left"">Canada 7s</div><div class=""teamNameAbr left"">CAN</div><div class=""tLogo second CAN""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129250-436","https://www.world.rugby/sevens-series/standings/mens?series=22","Singapore","https://www.world.rugby/sevens-series/stage/1691/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1691/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2016-17 - Singapore, </span><span>Cup Quarter Finals, </span><span>Match 30</span></div><div class=""match""> <div class=""tLogo AUS""></div>   <div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""result left"">   19 - 17 </div><div class=""teamName left"">South Africa 7s</div><div class=""teamNameAbr left"">RSA</div><div class=""tLogo second RSA""></div></div><div class=""info info--venue"">National Stadium, Singapore</div><div class=""matchBtns""> </div>"
"1554129735-877","https://www.world.rugby/sevens-series/standings/mens?series=11","Las Vegas","https://www.world.rugby/sevens-series/stage/1475/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1475/fixtures","<div class=""info""><span>2009/10 IRB Sevens World Series - Las Vegas, </span><span>Cup Quarter Finals, </span><span>Match 32</span></div><div class=""match""> <div class=""tLogo FIJ""></div>   <div class=""teamName left"">Fiji 7s</div><div class=""teamNameAbr left"">FIJ</div><div class=""result left"">   7 - 28 </div><div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""tLogo second AUS""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129901-995","https://www.world.rugby/sevens-series/standings/mens?series=6","Singapore","https://www.world.rugby/sevens-series/stage/1431/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1431/fixtures","<div class=""info""><span>2004/05 IRB Sevens World Series - Singapore, </span><span>Pool C, </span><span>Match 18</span></div><div class=""match""> <div class=""tLogo FRA""></div>   <div class=""teamName left"">France 7s</div><div class=""teamNameAbr left"">FRA</div><div class=""result left"">   47 - 0 </div><div class=""teamName left"">Thailand 7s</div><div class=""teamNameAbr left"">THA</div><div class=""tLogo second THA""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129848-950","https://www.world.rugby/sevens-series/standings/mens?series=8","George","https://www.world.rugby/sevens-series/stage/1447/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1447/fixtures","<div class=""info""><span>2006/07 IRB Sevens World Series - George, </span><span>Pool D, </span><span>Match 17</span></div><div class=""match""> <div class=""tLogo SCO""></div>   <div class=""teamName left"">Scotland 7s</div><div class=""teamNameAbr left"">SCO</div><div class=""result left"">   14 - 33 </div><div class=""teamName left"">Tunisia 7s</div><div class=""teamNameAbr left"">TUN</div><div class=""tLogo second TUN""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554128982-188","https://www.world.rugby/sevens-series/standings/mens?series=28","Las Vegas","https://www.world.rugby/sevens-series/stage/1881/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1881/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2019- Las Vegas, </span><span>Cup Quarter Finals, </span><span>Match 30</span></div><div class=""match""> <div class=""tLogo RSA""></div>   <div class=""teamName left"">South Africa 7s</div><div class=""teamNameAbr left"">RSA</div><div class=""result left"">   10 - 29 </div><div class=""teamName left"">USA 7s</div><div class=""teamNameAbr left"">USA</div><div class=""tLogo second USA""></div></div><div class=""info info--venue"">Sam Boyd Stadium, Las Vegas</div><div class=""matchBtns""> </div>"
"1554129914-1056","https://www.world.rugby/sevens-series/standings/mens?series=6","George","https://www.world.rugby/sevens-series/stage/1432/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1432/fixtures","<div class=""info""><span>2004/05 IRB Sevens World Series - George, </span><span>Bowl Semi Finals, </span><span>Match 35</span></div><div class=""match""> <div class=""tLogo IRE""></div>   <div class=""teamName left"">Ireland 7s</div><div class=""teamNameAbr left"">IRE</div><div class=""result left"">   19 - 24 </div><div class=""teamName left"">Canada 7s</div><div class=""teamNameAbr left"">CAN</div><div class=""tLogo second CAN""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129994-1185","https://www.world.rugby/sevens-series/standings/mens?series=3","London","https://www.world.rugby/sevens-series/stage/1401/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1401/fixtures","<div class=""info""><span>2001/02 IRB Sevens World Series - London, </span><span>Cup Quarter Finals, </span><span>Match 32</span></div><div class=""match""> <div class=""tLogo ENG""></div>   <div class=""teamName left"">England 7s</div><div class=""teamNameAbr left"">ENG</div><div class=""result left"">   26 - 14 </div><div class=""teamName left"">Australia 7s</div><div class=""teamNameAbr left"">AUS</div><div class=""tLogo second AUS""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129655-756","https://www.world.rugby/sevens-series/standings/mens?series=13","Las Vegas","https://www.world.rugby/sevens-series/stage/1490/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1490/fixtures","<div class=""info""><span>2011/12 IRB Sevens World Series - Las Vegas, </span><span>Cup Final, </span><span>Match 45</span></div><div class=""match""> <div class=""tLogo NZL""></div>   <div class=""teamName left"">New Zealand 7s</div><div class=""teamNameAbr left"">NZL</div><div class=""result left"">   19 - 26 </div><div class=""teamName left"">Samoa 7s</div><div class=""teamNameAbr left"">SAM</div><div class=""tLogo second SAM""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129953-1118","https://www.world.rugby/sevens-series/standings/mens?series=5","Dubai","https://www.world.rugby/sevens-series/stage/1421/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1421/fixtures","<div class=""info""><span>2003/04 IRB Sevens World Series - Dubai, </span><span>Pool A, </span><span>Match 9</span></div><div class=""match""> <div class=""tLogo ENG""></div>   <div class=""teamName left"">England 7s</div><div class=""teamNameAbr left"">ENG</div><div class=""result left"">   75 - 0 </div><div class=""teamName left"">Sri Lanka 7s</div><div class=""teamNameAbr left"">SRI</div><div class=""tLogo second SRI""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554129953-1141","https://www.world.rugby/sevens-series/standings/mens?series=5","Dubai","https://www.world.rugby/sevens-series/stage/1421/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1421/fixtures","<div class=""info""><span>2003/04 IRB Sevens World Series - Dubai, </span><span>Cup Quarter Finals, </span><span>Match 32</span></div><div class=""match""> <div class=""tLogo NZL""></div>   <div class=""teamName left"">New Zealand 7s</div><div class=""teamNameAbr left"">NZL</div><div class=""result left"">   15 - 10 </div><div class=""teamName left"">France 7s</div><div class=""teamNameAbr left"">FRA</div><div class=""tLogo second FRA""></div></div><div class=""info info--venue""></div><div class=""matchBtns""> </div>"
"1554128982-169","https://www.world.rugby/sevens-series/standings/mens?series=28","Las Vegas","https://www.world.rugby/sevens-series/stage/1881/about","Fixtures & Results","https://www.world.rugby/sevens-series/stage/1881/fixtures","<div class=""info""><span>HSBC World Rugby Sevens Series 2019- Las Vegas, </span><span>Pool A, </span><span>Match 11</span></div><div class=""match""> <div class=""tLogo ESP""></div>   <div class=""teamName left"">Spain 7s</div><div class=""teamNameAbr left"">ESP</div><div class=""result left"">   21 - 26 </div><div class=""teamName left"">Samoa 7s</div><div class=""teamNameAbr left"">SAM</div><div class=""tLogo second SAM""></div></div><div class=""info info--venue"">Sam Boyd Stadium, Las Vegas</div><div class=""matchBtns""> </div>"
